,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
163,77,0.0,0.803,0.694,8.0,-7.83,0.0,0.0527,0.551,0.000626,0.128,0.484,108.035
164,70,0.0,0.63,0.739,0.0,-3.942,1.0,0.0248,0.194,0.0,0.113,0.224,109.985
165,65,0.0,0.528,0.524,1.0,-8.107,1.0,0.0337,0.877,1.4e-05,0.172,0.269,99.636
166,80,0.0,0.413,0.406,10.0,-10.23,0.0,0.0353,0.768,2.22e-06,0.107,0.281,76.944
167,74,0.0,0.586,0.562,9.0,-7.399,1.0,0.0267,0.803,5.52e-06,0.063,0.436,93.982
168,66,0.0,0.46,0.674,9.0,-6.285,0.0,0.0356,0.422,3.02e-05,0.121,0.22,139.971
169,62,0.0,0.58,0.555,10.0,-8.475,1.0,0.0352,0.557,3.29e-05,0.0957,0.491,117.973
170,80,0.0,0.273,0.405,0.0,-5.81,1.0,0.0298,0.735,0.0,0.189,0.534,89.48
171,72,0.0,0.481,0.496,8.0,-7.421,1.0,0.0262,0.588,0.0,0.132,0.453,89.839
172,71,0.0,0.577,0.574,0.0,-6.525,1.0,0.0278,0.572,0.0,0.1,0.436,94.009
173,67,0.0,0.605,0.53,11.0,-6.346,1.0,0.0246,0.821,0.0,0.131,0.397,93.95
174,74,0.0,0.575,0.845,0.0,-5.28,1.0,0.0852,0.393,0.0107,0.131,0.439,95.047
175,73,0.0,0.271,0.726,7.0,-6.504,1.0,0.0527,0.586,0.0,0.353,0.532,87.425
176,68,0.0,0.487,0.898,9.0,-3.791,1.0,0.172,0.309,0.0,0.0886,0.65,88.349
177,72,0.0,0.371,0.664,5.0,-5.027,1.0,0.0318,0.566,2.54e-05,0.159,0.672,187.629
178,59,0.0,0.345,0.508,8.0,-7.595,1.0,0.0358,0.912,0.00138,0.101,0.287,135.21
179,68,0.0,0.707,0.714,1.0,-4.143,1.0,0.0311,0.436,2.89e-06,0.0919,0.229,118.974
180,66,0.0,0.651,0.551,0.0,-6.906,1.0,0.0274,0.405,0.0,0.219,0.294,102.935
181,70,0.0,0.606,0.601,2.0,-5.576,1.0,0.0283,0.796,0.000511,0.127,0.453,125.961
182,73,0.0,0.505,0.667,9.0,-5.797,1.0,0.0323,0.597,0.0,0.213,0.516,151.728
183,70,0.0,0.42,0.551,8.0,-7.348,1.0,0.0374,0.651,0.0,0.124,0.554,74.883
184,63,0.0,0.721,0.628,10.0,-5.546,1.0,0.0409,0.61,0.0,0.108,0.514,81.008
185,57,0.0,0.756,0.52,6.0,-8.642,1.0,0.0341,0.495,0.0,0.0901,0.684,119.92
186,64,0.0,0.4,0.366,6.0,-8.598,1.0,0.0342,0.87,0.00163,0.102,0.508,80.568
187,66,0.0,0.799,0.828,9.0,-4.846,0.0,0.0782,0.424,0.0,0.145,0.627,105.04
188,70,0.0,0.556,0.552,4.0,-5.875,1.0,0.0373,0.531,0.0,0.121,0.531,100.051
189,65,0.0,0.395,0.397,11.0,-7.556,1.0,0.0368,0.735,0.0,0.11,0.303,70.568
190,70,0.0,0.657,0.581,0.0,-8.108,1.0,0.0298,0.699,1.82e-05,0.116,0.323,118.037
191,71,0.0,0.283,0.58,6.0,-5.946,0.0,0.0339,0.434,0.0,0.0577,0.217,147.93
192,72,0.0,0.51,0.502,7.0,-7.016,0.0,0.0325,0.71,0.0,0.0708,0.321,133.885
193,71,0.0,0.603,0.573,1.0,-5.843,1.0,0.0502,0.478,0.0,0.0971,0.236,82.941
194,64,0.0,0.376,0.643,9.0,-5.713,1.0,0.0411,0.558,0.0,0.217,0.646,136.228
195,70,0.0,0.324,0.539,2.0,-8.076,1.0,0.038,0.713,3.15e-05,0.118,0.486,120.526
196,65,0.0,0.531,0.431,2.0,-8.937,0.0,0.037,0.868,2.47e-05,0.127,0.19,107.99
197,13,0.0,0.658,0.563,0.0,-8.91,0.0,0.0317,0.494,7.58e-05,0.378,0.582,119.98
198,68,0.0,0.523,0.768,0.0,-4.953,0.0,0.0566,0.447,0.000226,0.0833,0.669,75.03
199,67,0.0,0.37,0.467,2.0,-6.973,1.0,0.0411,0.442,0.0,0.109,0.162,137.796
200,68,0.0,0.718,0.382,7.0,-8.237,1.0,0.0466,0.585,0.0,0.128,0.499,87.029
201,68,0.0,0.465,0.551,7.0,-6.58,1.0,0.0362,0.619,6.03e-06,0.109,0.415,89.459
202,70,0.0,0.56,0.631,7.0,-9.032,1.0,0.0334,0.861,0.0133,0.0985,0.376,107.987
203,66,0.0,0.716,0.64,2.0,-8.726,1.0,0.025,0.565,0.00139,0.127,0.485,105.012
204,56,0.0,0.435,0.658,7.0,-5.949,0.0,0.0368,0.699,0.0,0.125,0.524,77.17
205,71,0.0,0.607,0.713,4.0,-5.105,1.0,0.03,0.56,4.98e-05,0.101,0.611,124.868
206,59,0.0,0.368,0.587,6.0,-6.676,0.0,0.0378,0.309,0.0,0.149,0.391,143.687
207,58,0.0,0.71,0.813,7.0,-6.099,1.0,0.0381,0.545,1.68e-05,0.105,0.847,139.998
208,71,0.0,0.562,0.519,3.0,-8.744,1.0,0.0326,0.557,0.000268,0.172,0.415,122.925
209,64,0.0,0.319,0.552,7.0,-6.401,1.0,0.0307,0.719,0.0,0.144,0.221,93.991
210,60,0.0,0.705,0.422,0.0,-7.375,1.0,0.0299,0.793,0.0,0.0895,0.484,117.949
211,69,0.0,0.676,0.696,9.0,-6.68,1.0,0.0452,0.666,0.0,0.0931,0.604,94.944
212,70,0.0,0.621,0.467,0.0,-4.835,0.0,0.0273,0.632,0.0,0.0888,0.227,107.164
213,65,0.0,0.572,0.736,11.0,-7.768,1.0,0.0658,0.643,0.0,0.128,0.778,85.035
214,66,0.0,0.605,0.655,0.0,-5.625,0.0,0.0364,0.484,1.13e-06,0.152,0.597,124.974
215,71,0.0,0.563,0.495,2.0,-10.272,1.0,0.0362,0.781,0.0,0.0837,0.244,125.998
216,66,0.0,0.535,0.754,10.0,-4.77,0.0,0.0562,0.458,1.6e-06,0.302,0.435,143.862
217,65,0.0,0.527,0.521,2.0,-6.837,0.0,0.0272,0.631,0.0,0.158,0.266,143.892
218,68,0.0,0.557,0.599,9.0,-6.309,0.0,0.0447,0.556,1.22e-06,0.103,0.392,149.785
219,57,0.0,0.527,0.622,7.0,-8.172,0.0,0.0842,0.7,2.82e-06,0.126,0.672,173.709
220,57,0.0,0.471,0.329,0.0,-11.958,0.0,0.0312,0.78,0.0021,0.117,0.144,126.107
221,58,0.0,0.649,0.716,7.0,-3.936,1.0,0.0384,0.268,4.51e-06,0.603,0.639,86.949
222,66,0.0,0.565,0.744,7.0,-5.817,1.0,0.0446,0.403,0.0,0.0853,0.415,134.068
223,58,0.0,0.626,0.522,7.0,-5.857,1.0,0.0317,0.686,0.0,0.41,0.628,118.001
224,62,0.0,0.484,0.565,11.0,-7.954,1.0,0.0347,0.479,2.13e-06,0.105,0.607,82.653
225,65,0.0,0.602,0.374,10.0,-9.849,0.0,0.0328,0.924,7.53e-06,0.084,0.388,101.855
226,61,0.0,0.296,0.582,9.0,-5.18,0.0,0.0413,0.449,0.0,0.319,0.365,168.4
